ID,LAT,LONG,T_SEASON,TDIFF,T_SUMMER,T_WINTER,PRE_YEAR,PRE_SUMMER,PRE_WINTER,ELEV,SLOPE,ASPECT,TMIN_JUL,TMIN_JAN,PERC_SEA,SHRUB,SAVANNA,GRASS,LAKE,CROP,URBAN,MOSAIC,BARE,FOREST
4114,41750,-1491404,222.68,18.66,28.88,23.11,1188.24,515.82,5,224.94,0.14,66.02,16.12,24.03,0,0,1,0,0,0,0,0,0,0
9114,91750,-1491404,218.22,17.91,29.29,23.6,1154.24,491.64,6,68.45,0.07,42.62,16.97,24.5,0,0,0.91,0,0.09,0,0,0,0,0
1414,141750,-1491404,214.43,17.08,28.95,23.36,1191.5,494.91,8,49.77,0.04,330.99,17.18,24.79,0,0,0.93,0,0.07,0,0,0,0,0
1914,191750,-1491404,206.73,16.21,29.3,23.86,1209.39,482.44,11,128.1,0.02,48.35,18.15,24.53,0,0,1,0,0,0,0,0,0,0
2414,241750,-1491404,199.83,15.41,29.2,24,1240,470.19,17.25,67.78,0.04,99.14,18.7,24.66,0,0,1,0,0,0,0,0,0,0
8914,891750,-1491404,146.37,15.19,28.22,24.43,1784.4,788.48,13,0,0.04,314.3,18.8,23.84,6.4,0,0.94,0,0,0,0,0,0,0
9414,941750,-1491404,150.5,14.34,27.65,23.74,1775.85,707.01,35.29,51.01,0.05,311.47,18.62,23.8,0,0,1,0,0,0,0,0,0,0
9914,991750,-1491404,155.55,13.37,27.39,23.4,1840.59,632,75.65,67.98,0.06,344.58,18.81,23.3,3.38,0,0.96,0,0,0,0,0,0,0.01
4015,-408250,-1541404,209.49,19.8,29.7,24.3,1343.06,371.69,5,0,0.02,290.48,16.3,24.59,31.9,0,0.59,0,0.08,0,0,0.01,0,0
3515,-358250,-1541404,219.48,20.82,29.25,23.57,1347,380.45,7.17,39.51,0.04,270.33,15.25,24.38,0,0,1,0,0,0,0,0,0,0
3015,-308250,-1541404,226.87,21.48,29.49,23.62,1298.32,372.17,10,99.11,0.03,282.13,15.02,23.81,0,0,1,0,0,0,0,0,0,0
2515,-258250,-1541404,235.67,22.01,29.89,23.74,1282.3,379.14,8.7,78.85,0.03,3.35,15.07,24.05,0,0,1,0,0,0,0,0,0,0
